image,caption
1000268201_693b08cb0e.jpg,A child in a pink dress is climbing up a set of stairs in an entry way .
1001773457_577c3a7d70.jpg,A black dog and a white dog with brown spots are staring at each other in the street .
1002674143_1b742ab4b8.jpg,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
1003163366_44323f5815.jpg,A man lays on the bench to which a white dog is also tied .
1007129816_e794419615.jpg,A man in an orange hat starring at something .
1007320043_627395c3d8.jpg,A child playing on a rope net .
1009434119_febe49276a.jpg,A black and white dog is running in a grassy garden surrounded by a white fence .
1012212859_01547e3f17.jpg,"A dog shakes its head near the shore , a red ball next to it ."
1015118661_980735411b.jpg,A young boy runs aross the street .
1015584366_dfcec3c85a.jpg,A black dog leaps over a log .
101654506_8eb26cfb60.jpg,a white and brown dog is running through a snow covered field .
101669240_b2d3e7f17b.jpg,A man in a hat is displaying pictures next to a skier in a blue hat .
1016887272_03199f49c4.jpg,A group of people climbing a rock while one man belays
1019077836_6fc9b15408.jpg,A brown dog running on a lawn near a garden hose
1019604187_d087bf9a5f.jpg,A dog prepares to catch a thrown object in a field with nearby cars .
1020651753_06077ec457.jpg,A black and white dog jumps up towards a yellow toy .
1022454332_6af2c1449a.jpg,A child and a woman are at waters edge in a big city .
1022454428_b6b660a67b.jpg,Couple with a baby sit outdoors next to their stroller .
1022975728_75515238d8.jpg,A dog splashes in the water
102351840_323e3de834.jpg,A person standing on a frozen lake .
1024138940_f1fefbdce1.jpg,Two dogs playing together on a beach .
102455176_5f8ead62d5.jpg,An ice climber scaling a frozen waterfall .
1026685415_0431cbf574.jpg,A black dog has a blue toy in its mouth .
1028205764_7e8df9a2ea.jpg,A man and a baby are in a yellow kayak on water .
1030985833_b0902ea560.jpg,A brown and black lab are outside and the black lab is catching a toy in its mouth .
103106960_e8a41d64f8.jpg,A child in a red jacket playing street hockey guarding a goal .
103195344_5d2dc613a3.jpg,A man sitting in front of a metal sculpture in front of a building .
103205630_682ca7285b.jpg,Two men are about to enter an ice fishing tent on a snow covered lake .
1032122270_ea6f0beedb.jpg,Three dogs stand in a grassy field while a person kneels nearby .
1032460886_4a598ed535.jpg,A man stands in front of a very tall building .
1034276567_49bb87c51c.jpg,A boy bites hard into a treat while he sits outside .
104136873_5b5d41be75.jpg,Three people are on a hilltop overlooking a green valley .
1042020065_fb3d3ba5ba.jpg,A boy in a green shirt watches kayakers .
1042590306_95dea0916c.jpg,A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .
1045521051_108ebc19be.jpg,A person sits on the floor and eats in front of a television .
1048710776_bb5b0a5c7c.jpg,Crowd of people at the beach .
1052358063_eae6744153.jpg,A child is performing a skateboard trick while another child with a skateboard leans on a wall .
105342180_4d4a40b47f.jpg,A woman with a paddle .
1053804096_ad278b25f1.jpg,A girls plays in the surf .
1055623002_8195a43714.jpg,Four children are having a pillow fight .
1055753357_4fa3d8d693.jpg,Two construction workers are sitting up on the side of a building .
1056249424_ef2a2e041c.jpg,The children are playing in the water .
1056338697_4f7d7ce270.jpg,A blond woman in a blue shirt appears to wait for a ride .
1056359656_662cee0814.jpg,A young girl on a train reads a book about train rides .
1056873310_49c665eb22.jpg,A brown dog is running after the black dog .
1057089366_ca83da0877.jpg,The boy is jumping off a high diving board into the pool .
1057210460_09c6f4c6c1.jpg,A man in a tank top stands next to a chrome door .
1057251835_6ded4ada9c.jpg,A tan dog runs on a sandy beach .
106490881_5a2dd9b7bd.jpg,The boy is playing on the shore of an ocean .
106514190_bae200f463.jpg,A skier is overlooking a snow-covered mountain .
1067180831_a59dc64344.jpg,A black and white dog jumps after a yellow toy .
1067675215_7336a694d6.jpg,A shirtless man is laying down in the middle of a busy street .
1067790824_f3cc97239b.jpg,The two large dogs are running through sand .
1072153132_53d2bb1b60.jpg,A dog leaps while chasing a tennis ball through a grassy field .
107318069_e9f2ef32de.jpg,A crowd watching air balloons at night .
1075716537_62105738b4.jpg,A little boy rides a bike down a hill on a miniature dirt bike .
107582366_d86f2d3347.jpg,A group of people sitting at a table in a darkened room .
1075867198_27ca2e7efe.jpg,a man playing with two black dogs on the beach
1075881101_d55c46bece.jpg,A boy is covered in bubbles .
1077546505_a4f6c4daa9.jpg,A boy in blue shorts slides down a slide into a pool .
1077931201_1e0bb83105.jpg,A man in a wetsuit is throwing a baby wearing a wetsuit up into the air .
1079274291_9aaf896cc1.jpg,two young boys making silly faces .
10815824_2997e03d76.jpg,A girl holding a horse 's lead behind a fire .
1082252566_8c79beef93.jpg,There are three dogs starring at a ball in the middle of them .
1082379191_ec1e53f996.jpg,A man and a woman sitting on a dock .
1084040636_97d9633581.jpg,A white dog is resting its head on a tiled floor with its eyes open .
1084104085_3b06223afe.jpg,A woman in blue shorts and a white shirt is indoor rock climbing .
1087168168_70280d024a.jpg,A boy jumping on a water jumphouse
1087539207_9f77ab3aaf.jpg,Several children playing on a Polaris vehicle outdoors .
1088767354_2acee738cf.jpg,The girl in the salmon colored bikini is standing next to two young people ; one is wearing a black outfit and the other is drinking pop .
108898978_7713be88fc.jpg,Two men are skiing in the snow in a wooded area .
108899015_bf36131a57.jpg,Two hikers climbing a snowy hill .
1089181217_ee1167f7af.jpg,A dog is running down a road .
1089755335_0bfbfd30e6.jpg,Some people on a pier at night with one girl fishing off it .
109202756_b97fcdc62c.jpg,A young blond woman sitting atop a brown draft horse in the snowy mountains .
109202801_c6381eef15.jpg,Two horses pulling a sled steered by a smiling blond woman .
109260216_85b0be5378.jpg,A person wearing a red vest climbs up a steep rock .
109260218_fca831f933.jpg,three people sit in a cave .
1093716555_801aacef79.jpg,The group of hikers is resting in front of a mountain .
1093737381_b313cd49ff.jpg,A woman standing in front of a chalk drawing
1094462889_f9966dafa6.jpg,A tan dog stand in the snow and looks up .
